cv_bucket,rev_min,rev_max
0,0.00,0.05
1,0.05,0.10
2,0.10,0.15
3,0.15,0.20
4,0.20,0.25
5,0.25,0.30
6,0.30,0.35
7,0.35,0.40
8,0.40,0.45
9,0.45,0.50
10,0.50,0.55
11,0.55,0.60
12,0.60,0.65
13,0.65,0.70
14,0.70,0.75
15,0.75,0.80
16,0.80,0.85
17,0.85,0.90
18,0.90,0.95
19,0.95,1.00
20,1.00,1.05
21,1.05,1.10
22,1.10,1.15
23,1.15,1.20
24,1.20,1.25
25,1.25,1.30
26,1.30,1.35
27,1.35,1.40
28,1.40,1.45
29,1.45,1.50
30,1.50,1.55
31,1.55,1.60
32,1.60,1.65
33,1.65,1.70
34,1.70,1.75
35,1.75,1.80
36,1.80,1.85
37,1.85,1.90
38,1.90,1.95
39,1.95,2.00
40,2.00,2.05
41,2.05,2.10
42,2.10,2.15
43,2.15,2.20
44,2.20,2.25
45,2.25,2.30
46,2.30,2.35
47,2.35,2.40
48,2.40,2.45
49,2.45,2.50
50,2.50,2.55
51,2.55,2.60
52,2.60,2.65
53,2.65,2.70
54,2.70,2.75
55,2.75,2.80
56,2.80,2.85
57,2.85,2.90
58,2.90,2.95
59,2.95,3.00
60,3.00,3.05
61,3.05,3.10
62,3.10,3.15
63,3.15,3.20
